model,accuracy,f1,roc_auc,salary_threshold
RandomForestClassifier,0.9266666666666666,0.8527443105756358,0.9784728888888888,150921.75
LogisticRegression,0.9265,0.851963746223565,0.9795447407407408,150921.75
DecisionTreeClassifier,0.9195,0.8398009950248756,0.958943925925926,150921.75
