model,rmse,mae,r2
RandomForestRegressor,21820.484555866075,16407.772142163052,0.8680535392336957
LinearRegression,23374.957785160423,17906.887380837557,0.8485843954282423
DecisionTreeRegressor,23789.456905413685,17430.66097573967,0.8431667943001834
