k,kmeans_silhouette,agglomerative_silhouette
2,0.22495717794127934,0.2147027538007501
3,0.16248860746802363,0.12366749735920485
4,0.15630060859709197,0.11257941257340648
5,0.16150084629146585,0.09522526599129053
6,0.15718204943851485,0.08860263776642734
7,0.15480062531073308,0.09329664149227758
8,0.1541123333081022,0.08995630439115761
